-----------------------------------------------
A server is listening on port 8080
-----------------------------------------------

Received SYN packet from the client
SYN-ACK packet sent to ('10.0.0.1', 40535)

Selective Repeat server started.
Receiving data...

Out-of-order packet received: 2
Duplicate packet received: 0
Duplicate packet received: 8
Duplicate packet received: 10
Duplicate packet received: 17
Duplicate packet received: 21
Duplicate packet received: 36
Duplicate packet received: 39
Duplicate packet received: 41
Duplicate packet received: 50
Duplicate packet received: 66
Duplicate packet received: 70
Duplicate packet received: 82
Duplicate packet received: 106
Duplicate packet received: 142
Duplicate packet received: 145
Duplicate packet received: 178
Duplicate packet received: 188
Duplicate packet received: 196
Duplicate packet received: 197
Duplicate packet received: 199
Duplicate packet received: 201
Duplicate packet received: 204
Duplicate packet received: 221
Duplicate packet received: 228
Duplicate packet received: 238
Duplicate packet received: 248
Duplicate packet received: 251
Duplicate packet received: 266
Duplicate packet received: 270
Duplicate packet received: 280
Duplicate packet received: 283
Duplicate packet received: 308
Duplicate packet received: 320
Duplicate packet received: 321
Duplicate packet received: 330
Duplicate packet received: 333
Duplicate packet received: 391
Duplicate packet received: 405
Duplicate packet received: 408
Duplicate packet received: 413
Duplicate packet received: 421
Duplicate packet received: 426
Duplicate packet received: 435
Duplicate packet received: 440
Duplicate packet received: 456
Duplicate packet received: 468
Duplicate packet received: 486
Duplicate packet received: 503
Duplicate packet received: 506
Duplicate packet received: 520
Duplicate packet received: 543
Duplicate packet received: 555
Duplicate packet received: 564
Duplicate packet received: 567
Duplicate packet received: 595
Duplicate packet received: 604
Duplicate packet received: 606
Duplicate packet received: 607
Duplicate packet received: 610
Duplicate packet received: 617
Duplicate packet received: 620
Duplicate packet received: 654
Duplicate packet received: 669
Duplicate packet received: 672
Duplicate packet received: 673
Duplicate packet received: 686
Duplicate packet received: 690
Duplicate packet received: 696
Duplicate packet received: 699
Duplicate packet received: 732
Duplicate packet received: 734
Duplicate packet received: 739
Duplicate packet received: 740
Duplicate packet received: 745
Duplicate packet received: 748
Duplicate packet received: 756
Duplicate packet received: 762
Duplicate packet received: 790
Duplicate packet received: 798
Duplicate packet received: 809
Duplicate packet received: 816
Duplicate packet received: 819
Duplicate packet received: 826
Duplicate packet received: 839
Duplicate packet received: 843
Duplicate packet received: 853
Duplicate packet received: 864
Duplicate packet received: 867
Duplicate packet received: 870
Duplicate packet received: 871
Duplicate packet received: 882
Duplicate packet received: 887
Duplicate packet received: 898
Duplicate packet received: 907
Duplicate packet received: 914
Duplicate packet received: 928
Duplicate packet received: 931
Duplicate packet received: 933
Duplicate packet received: 938
Duplicate packet received: 943
Duplicate packet received: 948
Duplicate packet received: 964
Duplicate packet received: 980
Duplicate packet received: 994
Duplicate packet received: 1024
Duplicate packet received: 1035
Duplicate packet received: 1047
Duplicate packet received: 1050
Duplicate packet received: 1052
Duplicate packet received: 1060
Duplicate packet received: 1063
Duplicate packet received: 1081
Duplicate packet received: 1089
Duplicate packet received: 1097
Duplicate packet received: 1100
Duplicate packet received: 1109
Duplicate packet received: 1148
Duplicate packet received: 1154
Duplicate packet received: 1161
Duplicate packet received: 1166
Duplicate packet received: 1167
Duplicate packet received: 1180
Duplicate packet received: 1181
Duplicate packet received: 1188
Duplicate packet received: 1194
Duplicate packet received: 1197
Duplicate packet received: 1211
Duplicate packet received: 1217
Duplicate packet received: 1241
Duplicate packet received: 1260
Duplicate packet received: 1265
Duplicate packet received: 1267
Duplicate packet received: 1272
Duplicate packet received: 1277
Duplicate packet received: 1280
Duplicate packet received: 1292
Duplicate packet received: 1296
Duplicate packet received: 1301
Duplicate packet received: 1312
Duplicate packet received: 1316
Duplicate packet received: 1319
Duplicate packet received: 1329
Duplicate packet received: 1337
Duplicate packet received: 1347
Duplicate packet received: 1367
Duplicate packet received: 1383
Duplicate packet received: 1391
Duplicate packet received: 1397
Duplicate packet received: 1405
Duplicate packet received: 1408
Duplicate packet received: 1414
Duplicate packet received: 1416
Duplicate packet received: 1427
Duplicate packet received: 1434
Duplicate packet received: 1439
Duplicate packet received: 1440
Duplicate packet received: 1475
Duplicate packet received: 1478
Duplicate packet received: 1503
Duplicate packet received: 1514
Duplicate packet received: 1525
Duplicate packet received: 1529
Duplicate packet received: 1540
Duplicate packet received: 1548
Duplicate packet received: 1553
Duplicate packet received: 1557
Duplicate packet received: 1559
Duplicate packet received: 1562
Duplicate packet received: 1564
Duplicate packet received: 1566
Duplicate packet received: 1572
Duplicate packet received: 1573
Duplicate packet received: 1581
Duplicate packet received: 1590
Duplicate packet received: 1594
Duplicate packet received: 1597
Duplicate packet received: 1615
Duplicate packet received: 1628
Duplicate packet received: 1638
Duplicate packet received: 1663
Duplicate packet received: 1664
Duplicate packet received: 1665
Duplicate packet received: 1676
Duplicate packet received: 1687
Duplicate packet received: 1698
Duplicate packet received: 1703
Duplicate packet received: 1711
Duplicate packet received: 1717
Duplicate packet received: 1732
Duplicate packet received: 1746
Duplicate packet received: 1760
Duplicate packet received: 1764
Duplicate packet received: 1789
Duplicate packet received: 1796
Duplicate packet received: 1809
Duplicate packet received: 1812
Duplicate packet received: 1843
Duplicate packet received: 1848
Duplicate packet received: 1879
Duplicate packet received: 1889
Duplicate packet received: 1891
Duplicate packet received: 1895
Duplicate packet received: 1902
Duplicate packet received: 1913
Duplicate packet received: 1914
Duplicate packet received: 1917
Duplicate packet received: 1921
Duplicate packet received: 1923
Duplicate packet received: 1935
Duplicate packet received: 1939
Duplicate packet received: 1945
Duplicate packet received: 1966
Duplicate packet received: 1975
Duplicate packet received: 1998
Duplicate packet received: 2017
Duplicate packet received: 2024
Duplicate packet received: 2025
Duplicate packet received: 2038
Duplicate packet received: 2053
Duplicate packet received: 2069
Duplicate packet received: 2076
Duplicate packet received: 2078
Duplicate packet received: 2088
Duplicate packet received: 2089
Duplicate packet received: 2093
Duplicate packet received: 2096
Duplicate packet received: 2121
Duplicate packet received: 2124
Duplicate packet received: 2132
Duplicate packet received: 2134
Duplicate packet received: 2135
Duplicate packet received: 2158
Duplicate packet received: 2163
Duplicate packet received: 2172
Duplicate packet received: 2175
Duplicate packet received: 2182
Duplicate packet received: 2195
Duplicate packet received: 2196
Duplicate packet received: 2200
Duplicate packet received: 2212
Duplicate packet received: 2215

FIN flag received. Sending FIN-ACK
